Family,Language,ID,Gloss Link,GLOSS,Orthographic Form,Phonemicized Form,Gloss as in Source,Etymology Code,Proto-Form,Proto-Language,Loan Source,Wanderwort Status,Etyma Set,Etymology Notes,General Notes,Source
Araucanian,Mapudungun,265,/lexical/feature/473,other,otro,outro,grammar,,,,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/474,pain/painful/sick,"dolor, doloroso, enfermo","dor, doloroso, doente",body,,,kuṭ͡ʀan,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/475,person/human being,persona,pessoa,human,,,če,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/477,rain,lluvia,chuva,environment,,,mawɨn̯,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/478,red,rojo,vermelho,colour,,,kelɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/479,right/right hand,derecha,direita,location/body,,,man,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/480,road/path,camino,caminho,manufacture,,,rupa-peyɨm,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/481,root,raíz,raiz,flora,,,folil,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/483,rotten,podrido,podre,quality,,,funa-n,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/484,sand,arena,areia,environment,,,kuyɨm,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/488,sharp,"afilado, filudo, filoso",afiado,quality,,,yuŋe,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/490,short,corto,curto,quality,,,piči; piči pɨra,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/491,shoulder,hombro,ombro,body,,,yupi,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/492,shy/ashamed,"tímido, vergonzoso","timido, com vergonha",mental,,,yewe-n,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/494,skin,piel,pele,body,,,ṭ͡ʀɨlke,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/495,sky,cielo,céu,environment,,,wenu,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/497,small,pequeño,pequeno,quality,,,piči,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/498,smoke,humo,fumaça,environment,,,fiṭ͡ʀun,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/509,star,estrella,estrela,environment,,,waŋɨlen̯,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/511,stick/wood,palo,"pau, vara",flora,,,mamɨlʸ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/512,stone,piedra,pedra,environment,,,kura,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/517,tail,"cola, rabo",rabo,body,,,kɨlen,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/518,that,ese/esa,esse,grammar,,,,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/561,3pl,ellos/ellas,eles/elas,grammar,,,feyeŋɨn,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/521,thick,"grueso, gordo, espeso",grosso,quality,,,fɨta-rume,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/522,thin,delgado,fino,quality,,,piči-rume,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/524,this,este/esta,este,grammar,,,,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/560,2sg,xx,xx,grammar,,,fey,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/527,throat,garganta,garganta,body,,,pel̯,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/526,three,tres,tres,number,,,kɨla,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/529,thunder,truenos,trovão,environment,,,ṭ͡ʀalkan,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/367,bite,morder,morder,body,,,ɣɨnatu,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/370,blow,soplar,soprar,body,,,pimu,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/377,breathe,respirar,respirar,body,,,n̯eyen̯,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/378,burn,quemar,queimar,environment,,,lɨpɨmɨ-wɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/379,chew,"masticar, mascar",mastigar,body,,,čaŋafɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/381,climb,subir,subir,motion,,,rono-pɨra; wenu-pɨra,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/384,come,venir,vir,motion,,,kɨpa,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/385,cook,cocinar,cozinhar,impact,,,θewma iyaelɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/387,count,contar,contar,mental,,,raki,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/388,cry,llorar,chorar,mental,,,ŋɨma,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/389,cut/hack,cortar,cortar,impact,,,kaṭ͡ʀɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/391,die/be dead,morir,morrer,state,,,l̯a,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/392,dig,cavar,cavar,impact,,,rɨŋa,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/397,dream,soñar,sonhar,mental,,,pewma,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/398,drink,"beber, tomar",beber,body,,,"pɨto-ko, putu",,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/404,eat,comer,comer,body,,,i,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/408,fall,caer,cair,motion,,,ɨṭ͡ʀɨf-naɣɨ; ṭ͡ʀanɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/412,fear,miedo,medo,mental,,,lʸika-n,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/416,flow,fluir,fluir,motion,,,wiṭ͡ʀu,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/418,fly,volar,voar,motion,,,mɨpɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/424,grow,crecer,crescer,state,,,ṭ͡ʀemɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/429,hear,oír,ouvir,mental,,,alʸkɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/431,hide,esconder,esconder,motion,,,elʸka-lɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/432,hit,"golpear, pegar",bater,impact,,,kupafɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/433,hold,"correr, asegurar, sostener",segurar,other,,,nɨ-nie,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/442,kill,matar,matar,impact,,,l̯aŋɨmɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/579,know/be knowledgeable,"saber, conecer","saber, conhecer",mental,,,kimɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/445,laugh,reír,rir,mental,,,aye; aye-kawɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/449,lie down,"acostarse, echarse",deitar,motion,,,kuθu; ṭ͡ʀana-kɨnu-wɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/451,live/be alive,vivir,"viver, morar",body,,,moŋen,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/472,open/uncover,abrir,abrir,other,,,nɨla,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/476,pound/beat,"machacar, golpear",bater,impact,,,[puɲete],,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/485,say,decir,dizer,mental,,,feypi,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/486,scratch,rascar,rasgar,impact,,,,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/487,see,ver,ver,mental,,,pe,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/489,shoot,"tirar, disparar, balear",atirar,impact,,,ṭ͡ʀalka-tu,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/493,sit,sentar(se),sentar,state,,,anɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/496,sleep,dormir,dormir,body,,,umautu,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/500,sniff/smell,"olfatear, oler",cheirar,body,,,n̯ɨmɨ-tu,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/504,spit,escupir,cuspir,body,,,tofkɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/505,split,"partir, dividir","rachar, dividir, partir",impact,,,"waṭ͡ʀo-ka, ṭ͡ʀafo-ka",,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/506,squeeze,"estrujar, exprimir",espremer,impact,,,kɨṭ͡ʀɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/507,stab/pierce,"apuñalar, acuchillar",apunhalar,impact,,,čɨŋarɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/508,stand,estar de pié,ficar em pé,state,,,wiṭ͡ʀa,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/510,steal,robar,roubar,other,,,weɲe,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/513,suck,chupar,chupar,body,,,fočiθɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/515,swell,hincharse,inchar,body,,,kunaw,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/516,swim,nadar,nadar,motion,,,weyel̯ɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/523,think,pensar,pensar,mental,,,raki-θuamɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/528,throw,"tirar, lanzar","atirar, jogar",impact,,,ɨṭ͡ʀɨfɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/530,tie up/fasten,"atar, amarrar",amarrar,impact,,,kɨθaw,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/534,turn,"girar, volter, torcer",virar,other,,,wiɲo-kintu,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/536,vomit,vomitar,vomitar,body,,,rapi,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/537,walk,"caminar, andar",andar,motion,,,ṭ͡ʀeka,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/552,work,trabajar,trabalhar,other,,,kɨṭ͡ʀawa,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/553,yawn,bostezar,bocejar,body,,,ɨŋapu,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/531,tongue,lengua,lingua,body,,,kewɨn̯,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/532,tooth,diente,dente,body,,,foro,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/535,two,dos,dois,number,,,epu,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/538,water,agua,agua,environment,,,ko,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/557,1pl.incl,nosotros (inclusivo),nós (inclusivo),grammar,,,inčiɲ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/556,1pl.excl,nosotros (exclusivo),nós (exclusivo),grammar,,,inčiɲ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/541,wet,mojado,molhado,quality,,,kɨlčaf; narfen,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/542,what?,"que, qué",que,grammar,,,čem,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/543,when?,cuando,quando,grammar,,,čumɨl,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/544,where?,donde,onde,grammar,,,čew,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/545,white,blanco,branco,colour,,,liɣ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/546,who?,"quien, quién",quem,grammar,,,iɲey,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/547,wife,esposa,esposa,kinship,,,kure; θomo,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/548,wind,viento,vento,environment,,,kɨrɨf,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/549,wing,ala,asa,body,,,mɨpɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/551,woman/female,mujer,mulher,human,,,θomo,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/554,yellow,amarillo,amarelo,colour,,,čoθ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/559,2pl,ustedes,vocês,grammar,,,eymɨn,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/420,foot,pie,pé,body,,,n̯amun̯,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/353,again,"de nuevo, otra vez",de novo,grammar,,,ka,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/354,all,todo,todos,other,,,kom,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/356,ankle,tobillo,tornozelo,body,,,pali-pali,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/358,armpit,"axila, sobaco",axila,body,,,puɲ-lipaŋ; puɲpuya,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/407,faeces,"heces, mierda, excremento, estiércol",fezes,body,,,me,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/455,lung,pulmón,pulmão,body,,,pon̯on̯,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/514,sweat,sudar,"suor, suar",body,,,arofɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/440,itch,"hormiguear, sentir comezón",coçar,body,,,ɲay-ɲay,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/820,bark,corteza,casca,environment,,,ṭ͡ʀolɨf,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/821,fingernail,uña,unha,body,,,wili,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/822,heart,corazón,coração,body,,,piwke,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/592,sun,sol,sol,time,,,an̯tɨ,,,,,,,
