ID_forms	Local_ID	Language_ID	Parameter_ID	Value	Form	Segments	Comment	Source	Cognacy	Loan	Graphemes	Profile	ID_languages	Name	Glottocode	Glottolog_Name	ISO639P3code	Macroarea	Latitude	Longitude	Family	ID	Name_parameters	Concepticon_ID	Concepticon_Gloss	ID_cognates	Form_ID	Form_cognates	Cognateset_ID	Doubt	Cognate_Detection_Method	Source_cognates	Alignment	Alignment_Method	Alignment_Source
Prototucanoan-116-thorn-1		Prototucanoan	116-thorn	*pota	p.o.t.a	p o t a		Chacon2014			^ p . o . t . a $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	116-thorn	thorn	124.0	THORN	Prototucanoan-116-thorn-1-1	Prototucanoan-116-thorn-1	p.o.t.a	116-thorn-84	False	expert	Chacon2014	p o t a	expert	Chacon2014
Prototucanoan-12-blow-1		Prototucanoan	12-blow	*pu-	p.u	p u		Chacon2014			^ p . u $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	12-blow	blow	175.0	BLOW (OF WIND)	Prototucanoan-12-blow-1-1	Prototucanoan-12-blow-1	p.u	12-blow-85	False	expert	Chacon2014	p u ( - - )	expert	Chacon2014
Prototucanoan-90-paca-1		Prototucanoan	90-paca	*seme	s.e.m.e	s e m e		Chacon2014			^ s . e . m . e $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	90-paca	paca	316.0	PACA	Prototucanoan-90-paca-1-1	Prototucanoan-90-paca-1	s.e.m.e	90-paca-86	False	expert	Chacon2014	s e m e	expert	Chacon2014
Prototucanoan-105-rub-1		Prototucanoan	105-rub	*sĩkʔe	s.ĩ.kʔ.e	s ĩ kˀ e		Chacon2014			^ s . ĩ . kʔ . e $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	105-rub	rub	1449.0	RUB	Prototucanoan-105-rub-1-1	Prototucanoan-105-rub-1	s.ĩ.kʔ.e	105-rub-87	False	expert	Chacon2014	- - - - s ĩ kˀ e	expert	Chacon2014
Prototucanoan-81-monkeysp-1		Prototucanoan	81-monkeysp	*sisi	s.i.s.i	s i s i		Chacon2014			^ s . i . s . i $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	81-monkeysp	monkey sp.	434.0	SPIDER MONKEY	Prototucanoan-81-monkeysp-1-1	Prototucanoan-81-monkeysp-1	s.i.s.i	81-monkeysp-88	False	expert	Chacon2014	( - - - - - ) s i s i ( - - - - - - )	expert	Chacon2014
Prototucanoan-121-tosmokemeat-1		Prototucanoan	121-tosmokemeat	*sɨʔjo	s.ɨ.ʔj.o	s ɨ ˀj o		Chacon2014			^ s . ɨ . ʔj . o $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	121-tosmokemeat	to smoke meat	1689.0	SMOKE (INHALE)	Prototucanoan-121-tosmokemeat-1-1	Prototucanoan-121-tosmokemeat-1	s.ɨ.ʔj.o	121-tosmokemeat-89	False	expert	Chacon2014	s ɨ ˀj o - -	expert	Chacon2014
Prototucanoan-6-back-1		Prototucanoan	6-back	*sõkɨ	s.õ.k.ɨ	s õ k ɨ		Chacon2014			^ s . õ . k . ɨ $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	6-back	back	1291.0	BACK	Prototucanoan-6-back-1-1	Prototucanoan-6-back-1	s.õ.k.ɨ	6-back-90	False	expert	Chacon2014	s õ k ɨ	expert	Chacon2014
Prototucanoan-100-pot-1		Prototucanoan	100-pot	*sot-	s.o.t	s o t		Chacon2014			^ s . o . t $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	100-pot	pot	1462.0	POT	Prototucanoan-100-pot-1-1	Prototucanoan-100-pot-1	s.o.t	100-pot-91	False	expert	Chacon2014	s o t -	expert	Chacon2014
Prototucanoan-102-red-1		Prototucanoan	102-red	*sõʔa	s.õ.ʔ.a	s õ ʔ a		Chacon2014			^ s . õ . ʔ . a $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	102-red	red	156.0	RED	Prototucanoan-102-red-1-1	Prototucanoan-102-red-1	s.õ.ʔ.a	102-red-92	False	expert	Chacon2014	s õ ʔ a	expert	Chacon2014
Prototucanoan-104-root-1		Prototucanoan	104-root	*tʔɨ̃kʔo	tʔ.ɨ̃.kʔ.o	tˀ ɨ̃ kˀ o		Chacon2014			^ tʔ . ɨ̃ . kʔ . o $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	104-root	root	670.0	ROOT	Prototucanoan-104-root-1-1	Prototucanoan-104-root-1	tʔ.ɨ̃.kʔ.o	104-root-93	False	expert	Chacon2014	tˀ ɨ̃ kˀ o	expert	Chacon2014
