Family,Language,Glottocode,Gloss,Portuguese gloss,Phonemicized Form
Chapakuran,Proto-Chapacuran,,swallow,,*tᶴoraw
Chapakuran,Proto-Chapacuran,,"rain, winter",,*tᶴowiʔ
Chapakuran,Proto-Chapacuran,,"to kiss ""noisily""",,*tᶴup
Chapakuran,Proto-Chapacuran,,"hair, coat",,*tun
Chapakuran,Proto-Chapacuran,,to walk,,*tut
Chapakuran,Proto-Chapacuran,,"to add, to pile up",,*wak
Chapakuran,Proto-Chapacuran,,toad species,,*waki:
Chapakuran,Proto-Chapacuran,,"to copulate, to have sex",,*wan
Chapakuran,Proto-Chapacuran,,"way, path, road",,*wana:
Chapakuran,Proto-Chapacuran,,Indian of enemy tribe,,*waɲam
Chapakuran,Proto-Chapacuran,,"sap, sperm, vaginal secretion",,*waɾak
Chapakuran,Proto-Chapacuran,,kind of fruit,,*watam
Chapakuran,Proto-Chapacuran,,common opossum,mucura,*watᶴik
Chapakuran,Proto-Chapacuran,,to marry,,*wet
Chapakuran,Proto-Chapacuran,,to vomit,,*weʔ
Chapakuran,Proto-Chapacuran,,to scrape with a knife,,*wijak
Chapakuran,Proto-Chapacuran,,small,,*wijam
Chapakuran,Proto-Chapacuran,,"to raise an animal, to tame/domesticate",,*wina:
Chapakuran,Proto-Chapacuran,,grandson,,*wina:
Chapakuran,Proto-Chapacuran,,"to wait, to except",,*winimˀ
Chapakuran,Proto-Chapacuran,,to roast on coal/ember,,*witᶴiʔ
Chapakuran,Proto-Chapacuran,,older brother,,*ʔajiʔ
Chapakuran,Proto-Chapacuran,,"to sing (of bird), to cackle, to cry",,*ʔaka:
Chapakuran,Proto-Chapacuran,,water; river; rain,,*ʔakom
Chapakuran,Proto-Chapacuran,,"manioc, cassava",,*ʔakop
Chapakuran,Proto-Chapacuran,,"edge, margin",,*ʔam
Chapakuran,Proto-Chapacuran,,to give,,*ʔamiʔ
Chapakuran,Proto-Chapacuran,,"excrements, feces, intestines, belly",,*ʔamon
Chapakuran,Proto-Chapacuran,,"very, much",,*ʔamʷi:
