No.,FORM,Gloss,Scientific name
308,*cã̂ʔo,mão esquerda,
309,*tôcoʔ,nariz,
310,*bãtɯb,olho,
311,*pʼûj,orelha,
312,*kʼêgeʔ,osso 1,
313,*kɤ̂ʔ,osso 2,
314,*cʼi̇̂bo,pé,
315,*hõʔtɤ̌g,peito,
316,*ʔõgõʔ,pomo-de-ada)o,
317,*cã̌d,púbis,
318,*pupuh,pulmão,
319,*pʼâk,queixo,
320,*cʼoc,saliva 1,
321,*dõhcǎw,saliva 2,
322,*baji̇̂wo,sangue,
323,*pûd,seio,
324,*kʼɤ̂d,sobrancelha,
325,*bãpʼoɾ,testa,
326,*pûc,umbigo,
327,*põhpʼokʼ,unha,
328,*hĩ̌h,abelha (genérico),
329,*jǒʔ,aranha 1,
330,*cũ̌h,aranha 2,
331,*dahdǎp,barata 1,
332,*kabataɾ,barata 2,
333,*tʼãdĩ,bicho-de-pé,
334,*pʼepʼep,borboleta (genérico),
335,*xogoʔ,borboleta,Morpho sp.
336,*bãʔjǔʔ,caba (genérico),
337,*ʔatɯtʼ,caba 1 (sp.),
338,*bũ̌k,caba 2 (sp.),
339,*kʼijoh,carapanã,
340,*cêbi,carrapato 1,
341,*kʼawaɾɯ̂pʼ,carrapato 2,
342,*câjo,centopéia,
343,*pʼuʔ,cupim,
344,*cajo,escorpião,
345,*bobob,formiga 1 (sp.),
346,*kaɾaʔwaʔ,formiga 2 (sp.),
347,*kuc,formiga-correição 1 (sp.),
348,*cã̂wo,formiga-correição 2 (sp.),
349,*ʔɯ̃̌h,formiga-de-fogo (sp.),
350,*hǔt’,formiga-saúva 1 (sp.),comestível
351,*wɤk’,formiga-saúva 2 (sp.),comestível
352,*cũ̌cʼuʔ,grilo 1,
353,*di̇̂tʼ,grilo 2,
354,*popôp,larvas,
355,*dẽ̌kʼ,mel,
356,*cʼop,mosca,
357,*pʼuk,mutuca,
358,*dã̂bi,piolho,
359,*hôʔ,pium,
360,*wi̇̂wo,tocandira,Paraponera clavata
361,*xûj,vaga-lume,
362,*joʔ,acima 1,
363,*kǔtʼ,acima 2,
364,*cûd,dentro,
365,*ʔɯt,embaixo,
366,*wã̂d,fundo 1,
367,*tõ̂p,fundo 2,
368,*hõt,longe 1,
369,*wɯʔ,longe 2,
