index,FORM,Gloss
581,*qapi-,to squeeze in hands
582,*qapu-,"spinning wheel, to spin thread"
586,*qara-,"naked, bare, to peel, strip"
587,*qara(ča),scabies
591,*qasa-,"to moan, yell"
595,*qʰati-,"to cook, be cooked"
597,*qawa,"gully, ditch, crack"
598,*qawi-,"to chew, bite"
599,*qawra,llama
601,*qayma,tasteless (food)
606,*qʰiʎa,ashes
607,*qiʎqa-,to write
609,*qintʂa,"corral, fenced enclosure"
610,*qʰinsa-,"to blow nose, to be face down in the water"
612,*qiñwa,tree species
615,*qipu,"thorn, thorny plant"
616,*qiri,"wound, scab"
617,*qiru,"maguey plant, type of wood, drinking cup"
619,*qisa,"hopeless, abandoned, dejected"
621,*qʰispi,"crystal, glass"
625,*qutʂa,"lake, pool"
628,*quʎqi,"silver, money, coin"
630,*qʰuma-,"to hug, brood"
631,*qumpi-,"to sew, embroider"
632,*qunču,"sediment, grounds"
633,*quntʂa,"brother of man, companion"
635,*qunqura ~ *qunquri ~ *qunquru,knee
637,*ququ,"snack, provisions for journey"
638,*qurawa,"intestines, slingshot"
640,*qurpa,"furrow, ditch, boundary"
642,*qʰuru-,to snore
645,*qutu,"mound, group, bunch, tumor"
647,*quyru,cloudy eye
649,*laki-,"to separate, sort, select, hand out"
667,*lupi,"sunlight, heat from sun"
668,*lura-,"to do, make, work"
672,*sa-,to sow
674,*saka-,"to beat, hit with an object"
676,*šaʎqa,"high grasslands, person from the high grasslands, uncultured person (n.b. offensive)"
677,*sama-,"to breathe, rest"
678,*sama,"back, shoulder"
684,*saru-,"to stand up, step on"
688,*saya-,to say
689,*sayu-,to weave
690,*sitʂi-,to rip apart
691,*sikʰa-,"to yank, pull out"
693,*siʎpi,"peel, tree bark"
700,*sira-,"fart, to fart"
704,*sunaqi,"zenith, hair part, fontanelle"
707,*suqta,six
708,*suqu,corn husk
710,*susunkʰa-,to become numb
713,*šanqa,"throat, larynx, sinus"
714,*šaqša,"ragged, frayed, tousled"
716,*saya-,"to stand, stop, be upright"
718,*šiʎu,"nail, claw"
723,*šipi,bush species
724,*šiqi-,"line, row, to make lines"
728,*šuʎkʰa,"younger, younger brother"
729,*šuʎu,fetus
730,*šuma,"beautiful, good"
733,*šuta,potato variety
734,*šuti,name
743,*tʂampa,"tangled, disheveled, unkempt"
745,*tanta,bread
746,*tapra,wool
750,*tʰaqa-,"to search for, rummage"
751,*taqʎi-,"slap, to slap, applaud"
755,*taruka,deer species
758,*tika,"adobe, mold"
759,*tiki-,"to grind, mix"
763,*timpu-,"to pin up, roll up fabric"
768,*tira,crib
769,*tiri-,"to pin, stitch, tack"
771,*tukru,"cane, staff"
772,*tuksa-,to stink
774,*tuku-,"to finish, become, pretend"
777,*tuʎqa,son-in-law
779,*tumpa-,"to testify, accuse, blame, slander"
780,*tuni- ~ *tʰuni-,"to collapse, crumble"
781,*tʰu(n)ku-,"to shuffle, skip, stumble, hop"
782,*tunqu,corn
784,*tupu-,"measurement, to measure (size or quantity or distance)"
787,*turu,"blunt, rounded"
788,*turu-,"to gnaw, chew, crunch in teeth"
789,*tʰusa-,to spit
794,*utʂa-,"porridge, mush, to gulp"
797,*uka,that
798,*uʎa,"cooked potato or overcooked potato or spoiled potato"
799,*uʎa-,"to see, look, watch"
