Gloss,FORM
"new, fresh, raw",*paʂa
blossoming small branch on a stem,*paʂko
deaf,*pãtot
to shake,*paya-
rotten,*payo
"wing, feather",*pɨʔi
to eat,*pi-
"nephew, son of one's sister",*piʔak
arrow,*pia
parakeet,*pitso
hummingbird,*pi(n)o
toucan species,*pisa
"cujubi(m) (Pipile cujubi bird species), wild turkey",*koʂo
large toucan species,*ʂokɨ
snake species,*pisika
small bag (?),*piʃa
mat,*piʃi(n)
small,*pistia
food,*piti
faeces,*poʔi-
kind of tubercle (yam?),*poa
sister or brother of the opposite sex,*poi
sister or brother of the opposite sex,*poi
"intestine, belly",*poko
vein,*pono
owl species,*popo
sloth species,*posɨ(n)
ankle,*poʂko
"to thow, to abandon",*pota-
dust,*poto
arm,*poyam
"during, while",*ɽaʔma
"remedy, drug, traditional medicine",*ɽaʔo
"to be afraid, to get scared",*ɽaʔtɨ-
two,*ɽaβɨt
to be ashamed,*ɽaβi(n)-
"knee, kneecap",*ɽãβoʂo(ko)
"to fear, to be afraid of",*ɽakʷɨ-
to lie down,*ɽaka-
"to cover, to surround",*ɽako-
"body hair, coat",*ɽani
knee,*ɽa(n)toko-
to kill,*ɽɨʔtɨ-
"end, headwater",*ɽɨβo
"forward, upwards (of river)",*ɽɨβo+ki
"hole in nose, nostril",*ɽɨ+kini
to grind,*ɽɨnɨ-
nasal septum,*ɽɨpaC
"to knock down, to fall over",*ɽɨɽ-
musical instrument,*ɽɨwɨ
"equal, the same way, also","*-ɽiʔβi, *ɽiʔβa"
"thread, string, cord",*ɽisiβitʃi
thread,*ɽisis
axe,*ɽoɨ
tobacco,*ɽomɨ
snake,*ɽoro
"to be on a diet, to fast",*sama-
"to lift, to suspend",*sa(n)á(n)-
fish species,*sa(n)í(n)
kind of small fish,*sani(n)
"to put on clothes, to dress",*sawɨÇ-
fierce,*si(n)a
coati species (Nasua nasua),*sisi
"good, pretty",*ʃaɽa
chest (body part prefix),*ʃik
plant species,*ʃiko(n)
spider species,*ʃi(n)a
to think,*sina(n)-
pium (fly species),*ʃio
clarity,*ʂaʔβak
tamandua (kind of anteater),*ʂaʔɨ
to cut,*ʂaʔtɨ-
to yawn,*ʂaβa-
"tree bark, skin",*ʂakaÇ
"sister-in-law, wife, cross-cousin (?)",*ʂa(n)o
bone,*ʂao
cotton,*ʂapo
"pestle, stone",*ʂaʂo
calabash species,*ʂata(n)
macaw species,*ʂawar
tortoise,*ʂawɨ
sugar cane (?),*ʂawi
to drink,*ʂɨʔa-
to thresh corn,*ʂɨʔmɨ-
palm species,*ʂɨβo(n)
gecko species,*ʂɨkɨÇ
caterpillar species,*ʂɨ(n)a
tree species,*ʂɨ(n)a(n)
"fat, grease, oil",*ʂɨ(n)i
old,*ʂɨ(n)i
"tooth, beak (of bird)",*ʂɨta
vulture,*ʂɨtɨ
to smell,*ʂɨtɨ-
"smell, scent",*wia
"stinky, stench",*pisi
"ceiling, roof (made of straw), to thatch",*ʂɨwa-
benefactive,*-ʂo(n)
transitive concord suffix,*-ʂon
to roast,*ʂoʔi-
needle,*ʂoʔomoʂ
"to scratch, to itch, itch",*ʂoa-
fat,*ʂoaC-
house,*ʂoβo
to peel,*ʂoka-
small,*ʂoko
to cast skin (?),*ʂokoC-
"breasts, milk",*ʂoma
"green, unripe",*ʂoo
papaya,*ʂopa(n)
down feather,*ʂopoÇ
chest,*ʂotsi
"girl, young girl",*ʂõtako
foot,*taʔɨ
"temporary house, shelter (?)",*taʔpas
liver,*takʷa
peanut,*tama
cheek,*tamβo
"to try, to taste (?)",*tara-
palm species,*taoaÇ
"bridge, platform",*tapo
root,*tapon
"old log, rotten log",*taɽa
to spin (?),*taɽá(n)-
clothes,*taɽi
kind of basket,*tasa
salt,*taʃi
pile of logs floating down the river,*taʂa
bamboo used for making arrows,*tawa
to break,*tɨʔk(ɨ)-
blowpipe,*tɨpi
"sprout, shoot",*tɨʂka(n)
"neck, nape, throat",*tɨʂo
Adam's apple,*tɨto(n)
hawk species,*tɨtɨC
instrumental nominalizer,*-ti
"to hit, to beat",*tima-
"rifle, shotgun",*to...
strainer,*toʔati
"to make pregnant, to give birth",*to(ʔo)-
frog or toad species,*toa
dark blue,*to(n)a(n)
wart,*toʂpi
to make,*-wa
"farm, garden",*wai
"water, river",*waka
fish species,*wamɨ
palm species,*wani(m)
pumpkin species,*waɽa(m)
"to sweep, to forage",*was
herb,*wasi
spider's web,*was(n)o(n)
cotton,*waʂmɨ(n)
imperative verbal suffix,*-wɨ
narrow strait between two islands,*wɨa
"other, another",*wɨts(a)
one (numeral),*wɨsti
lower leg,*wiʔtaʂɨ
to row,*wi(n)a-
"to cry, to weep",*wi(n)-
"club, baton",*wino
to pass,*wi(n)o-
calf,*wipoko
black,*wiso
"with, in possession of",*-ya
tick precies,*yaʔra(n)
"town, settlement",*yakat-
negative suffix,*(-ya)ma
axe,*yami
fish,*yapa
late; afternoon,*yãtan
wild hog species,*yawa
armadillo species,*yawis
"to say, to speak",*yoʔi-
animal,*yoʔi(n)a
"to have fever, to get annoyed",*yo(n)a-
wizard,*yoβɨ(ka)
pepper species,*yotʃi
to ask,*yoka-
fish species,*yoma
"thread, line, cord",*yoma(n)
to steal,*yomɨtso-
"people, human body",*yoɽa
to grow,*yo(o)si
spirit,*yosi(n)
"woman, old woman",*yoʂa
