Family,Language,Glottocode,Gloss,Phonemicized Form 
Chibchan,Proto-Chibchan,,"smell, odor",*hALÀ
Chibchan,Proto-Chibchan,,snake,*tAkAbÌ
Chibchan,Proto-Chibchan,,"soil, earth, dirt, clay",*ˈtÁBA
Chibchan,Proto-Chibchan,,son,*gAbÀ
Chibchan,Proto-Chibchan,,spider,*óhk
Chibchan,Proto-Chibchan,,squirrel,*kudã́
Chibchan,Proto-Chibchan,,star,*bÌ-
Chibchan,Proto-Chibchan,,"stick (a spear), insert, put in",*ˈtsã
Chibchan,Proto-Chibchan,,stone,*ˈhákI
Chibchan,Proto-Chibchan,,sun,"*dì, *ˈka, *dui"
Chibchan,Proto-Chibchan,,sweet,*bəˈlóʔ
Chibchan,Proto-Chibchan,,tail,*ˈduhkI
Chibchan,Proto-Chibchan,,tapir,*dAĩ́ʔ
Chibchan,Proto-Chibchan,,take,*ˈgúʔ
Chibchan,Proto-Chibchan,,tear,*ˈubə́diə
Chibchan,Proto-Chibchan,,that,"*ˈhéʔ, *ˈse, *ˈkue, *ˈdiÀ"
Chibchan,Proto-Chibchan,,third person,"*i-, *A"
Chibchan,Proto-Chibchan,,this,"*ˈdi-, *ˈhíʔ"
Chibchan,Proto-Chibchan,,three,*ˈbai
Chibchan,Proto-Chibchan,,tobacco,"*ˈdu, *ˈduə̀"
Chibchan,Proto-Chibchan,,tongue,"*pkúʔ, *ˈpkuə́"
Chibchan,Proto-Chibchan,,tooth,"*ˈtu, *aˈkə"
Chibchan,Proto-Chibchan,,toucan sp.,*Biˈli
Chibchan,Proto-Chibchan,,"tray (made of wood used to wash)",*kuˈLIʔ
Chibchan,Proto-Chibchan,,transitive verb marker,*Bə-
Chibchan,Proto-Chibchan,,tree,"*ˈkàr, *kaˈri"
Chibchan,Proto-Chibchan,,"tree, trunk of a tree, wood",*ˈkarə́
Chibchan,Proto-Chibchan,,tuber,*ˈtuʔ
Chibchan,Proto-Chibchan,,turtle,"*kuÌ, *uˈli"
Chibchan,Proto-Chibchan,,two,*ˈbU
Chibchan,Proto-Chibchan,,uncle,*kəˈru
Chibchan,Proto-Chibchan,,vulva,*ˈkÍ
Chibchan,Proto-Chibchan,,water,*ˈdíʔ
Chibchan,Proto-Chibchan,,we (inclusive),*ˈsẽ́ʔ
Chibchan,Proto-Chibchan,,weep,*ˈbo
Chibchan,Proto-Chibchan,,what,*ˈhi
Chibchan,Proto-Chibchan,,where,*biə
Chibchan,Proto-Chibchan,,white,*buLu
Chibchan,Proto-Chibchan,,wind,*ˈBur-
Chibchan,Proto-Chibchan,,with,"*uA, *tÁ"
Chibchan,Proto-Chibchan,,woodpecker,*soˈr̃o
Chibchan,Proto-Chibchan,,"woods, firewood",*ˈbUʔ
Chibchan,Proto-Chibchan,,work,*hiBA
Chibchan,Proto-Chibchan,,worm,*ˈgĩ́
Chibchan,Proto-Chibchan,,you (sg.),*ˈbáʔ
Chibchan,Proto-Chibchan,,yucca,*ˈik
