index,FORM,Gloss
729,*šuʎu-,"‘fetus, to abort, miscarry’"
730,*šumaq,"‘beautiful, good’"
731,*šunqu,‘heart’
732,*šuqu-,"‘to suck, slurp’"
734,*šuti ~ *suti,‘name’
735,*šutu-,"‘drop, to drip’"
736,*šuya-,‘to wait’
737,*šuyšu-,"‘to strain, sift, filter’"
738,*taka-,"‘to punch, knock, hit with hard object’"
739,*taki-,"‘song, to sing, to dance’"
740,*takʎa,‘plow’
741,*takša,"‘small, short’"
742,*taʎi-,"‘to pour, pour out’"
743,*tampa,"‘tangled, disheveled, unkempt’"
744,*tanqa-,‘to push’
745,*tanta,‘bread’
747,*tapši-,"‘to shake up, shake out’"
748,*tapu-,‘to ask’
749,*tapya-,"‘omen, to prophesy’"
751,*taqʎa-,"‘slap, to slap, applaud’"
752,*taqša-,‘to launder’
753,*tari-,"‘to find, get, meet’"
754,*tarpu-,‘to sow seeds’
755,*taruka,‘deer species’
756,*tawna,‘walking cane’
757,*tawri ~ *tarwi,‘lupine’
760,*tikra-,‘to overturn’
761,*tikti,‘wart’
762,*timpu-,"‘boiled, to boil (intrans.)’"
764,*tinki-,"‘to join (trans.), unite, bring together’"
765,*tinya,‘small drum’
766,*tipi-,"‘to pick apart, cut up’"
767,*tipši-,‘to pinch’
770,*tiya- ~ *taya-,‘to sit’
773,*tukši-,"‘to stab, prick, puncture’"
774,*tuku-,"‘to finish, become, pretend’"
775,*tukuy,‘all’
776,*tuʎpa,"‘fireplace, hearth, stove’"
778,*tuʎu,‘bone’
779,*tumpa-,"‘to testify, accuse, blame, slander’"
783,*tunquri,‘throat’
784,*tupu-,"‘measurement, to measure (size quantity or distance)’"
785,*tuqa-,"‘spit, saliva, to spit, cough up’"
786,*turi,‘brother of woman’
790,*tušu-,‘to dance’
791,*tuta,"‘night, darkness’"
792,*uču,‘chili pepper’
793,*učuy ~ *učuk,‘small’
795,*utʂku-,"‘hole, to dig, make a hole’"
796,*utʂpa,‘ashes’
800,*uʎuku,‘olluco (tuber species)’
801,*uma,‘head’
803,*una-,"‘to delay, be a long time’"
804,*uña,"‘calf, lamb, juvenile domesticated animal’"
805,*upa,"‘mute, quiet, deaf, stupid’"
806,*upya-,‘to drink’
807,*uqa,‘oca (kind of tuber)’
808,*uqi,"‘grey, brown’"
809,*uqʎa-,"‘to embrace, incubate, warm with body heat’"
811,*ura,"‘below, down’"
815,*urqu,‘mountain’
816,*urqu ~ *uʎqu,‘male’
818,*usa-,"‘louse, to remove lice’"
820,*usya-,‘to clear up (weather)’
823,*utku,‘cotton’
824,*uya(ri)-,"‘to hear, listen’"
826,*uywa-,"‘domestic animal, to raise an animal’"
827,*watʂa-,"‘to give birth, lay eggs’"
828,*watʂi-,"‘pole, lance, stick, to poke, sting, stab’"
829,*waka-,"‘crack, cleft, special object or place, sacred, dangerous, to change state, turn wild’"
831,*wakča,"‘poor, orphan’"
832,*wakin,"‘some, other’"
834,*waʎpa,‘bird species’
