Family,Language,Glottocode,Gloss,Phonemicized Form
Chicham,Proto-Shuar,,cuñado de hombre,*sái
Chicham,Proto-Shuar,,"cáscara, corteza",*saepe
Chicham,Proto-Shuar,,oruga (gusano),*sápi
Chicham,Proto-Shuar,,chorrito de agua,*sása
Chicham,Proto-Shuar,,espuma,*sáu
Chicham,Proto-Shuar,,dar; vender,*su-
Chicham,Proto-Shuar,,"epidemia, tos",*sungkúnga
Chicham,Proto-Shuar,,barba,*súsu
Chicham,Proto-Shuar,,cojear,*sutu-
Chicham,Proto-Shuar,,madrugada; medionoche,*suwa-
Chicham,Proto-Shuar,,pulmones,*(su)wách(i)
Chicham,Proto-Shuar,,cuello,*súwe
Chicham,Proto-Shuar,,rata de agua,*shakuwa
Chicham,Proto-Shuar,,"alegre, bien",*shiinga
Chicham,Proto-Shuar,,flecha,*shikí (tu)
Chicham,Proto-Shuar,,paloma,*shimpa
Chicham,Proto-Shuar,,cantar,*shi(ná-)
Chicham,Proto-Shuar,,chonta (palmera),*shíngki
Chicham,Proto-Shuar,,"aplastar, llenar, empujar",*shíta-
Chicham,Proto-Shuar,,enemigo; gente,*shuwánga
Chicham,Proto-Shuar,,armadillo,*(sh)ushu(wi)
Chicham,Proto-Shuar,,cucaracha grande,*shuúta
Chicham,Proto-Shuar,,negro,*shuwína
Chicham,Proto-Shuar,,morir,*ha-
Chicham,Proto-Shuar,,ropa,*háanchi
Chicham,Proto-Shuar,,mandíbula; boca,*hángke
Chicham,Proto-Shuar,,venado,*hápa
Chicham,Proto-Shuar,,barrer; escoba,*hapí-
Chicham,Proto-Shuar,,"candela; ojo, fuego",*hii
Chicham,Proto-Shuar,,asar,*hiyá-
Chicham,Proto-Shuar,,salir,*hii-na-
Chicham,Proto-Shuar,,dos,*hímanga
Chicham,Proto-Shuar,,murciélago,*(h)íncham(a)
Chicham,Proto-Shuar,,"camino, trocha",*hínta
Chicham,Proto-Shuar,,fruto; semilla,*hingkai
Chicham,Proto-Shuar,,amarrar; atar,*hingká-
Chicham,Proto-Shuar,,"llegar; distancia, alargar",*hegá-
Chicham,Proto-Shuar,,casa,*hega
Chicham,Proto-Shuar,,picaflor,*hémpe
Chicham,Proto-Shuar,,cana,*hempee
Chicham,Proto-Shuar,,este,*hu
Chicham,Proto-Shuar,,coger,*huú-
Chicham,Proto-Shuar,,secar,*huhú-
Chicham,Proto-Shuar,,parir,*húnge-
Chicham,Proto-Shuar,,matar,*ma-
Chicham,Proto-Shuar,,es suficiente,*máakee
Chicham,Proto-Shuar,,mono blanco,*machíngku
Chicham,Proto-Shuar,,ambos,*mai
Chicham,Proto-Shuar,,bañar,*maí-
Chicham,Proto-Shuar,,floripondio,*maikuwa
Chicham,Proto-Shuar,,sonajero,*mákicha
Chicham,Proto-Shuar,,muslo,*máku
Chicham,Proto-Shuar,,yuca,*máma
Chicham,Proto-Shuar,,zancudo,*mánchu
Chicham,Proto-Shuar,,paujil,*máshu
Chicham,Proto-Shuar,,pulmones,*mayái
Chicham,Proto-Shuar,,mar,*nayántsa
Chicham,Proto-Shuar,,frío,*mícha
Chicham,Proto-Shuar,,rozar,*mée-
Chicham,Proto-Shuar,,"husmear, heder; oler",*mehé-
Chicham,Proto-Shuar,,izquierdo; ausentar; desviar,*ména
Chicham,Proto-Shuar,,"herir, romper",*mesé-
Chicham,Proto-Shuar,,igual,*méteke
