ORIGINAL_GLOSS	CONCEPT	CONCEPTICON_ID	LANGUAGE_NAME	DOCULECT	FAMILY	FORM	TOKENS
a little	A LITTLE	2924.0	Proto-Aymara	ayma1253	Aymaran	piʃi	p i ʃ i
be little	A LITTLE	2924.0	Proto-Quechuan	quec1387	Quechuan	piʃi	p i ʃ i
abandoned	ABANDON	1097.0	Proto-Aymara	ayma1253	Aymaran	qisa	q i s a
abandonar	ABANDON	1097.0	Proto-Guaicuru	guai1249	Guaicuruan	alate	a l a t e
abandonar	ABANDON	1097.0	Proto-Guaicuru	guai1249	Guaicuruan	oˀjá	oˀ j á
to abandon	ABANDON	1097.0	Proto-Panoan	pano1256	Panoan	pota	p o t a
abandon	ABANDON	1097.0	Proto-Quechuan	quec1387	Quechuan	saqi	s a q i
to abort	ABORTION	3866.0	Proto-Quechuan	quec1387	Quechuan	ʃuʎu	ʃ u ʎ u
above	ABOVE	1741.0	Proto-Aymara	ayma1253	Aymaran	anqa	a n q a
above	ABOVE	1741.0	Proto-Aymara	ayma1253	Aymaran	araqa	a r a q a
above	ABOVE	1741.0	Proto-Aymara	ayma1253	Aymaran	araya	a r aya
encima	ABOVE	1741.0	Proto-Guaicuru	guai1249	Guaicuruan	pˀe	pˀ e
over	ABOVE	1741.0	Proto-Panoan	pano1256	Panoan	manan	m a n a n
above	ABOVE	1741.0	Proto-Quechuan	quec1387	Quechuan	hana	h a n a
to be on a diet	ABSTAIN FROM FOOD	303.0	Proto-Panoan	pano1256	Panoan	sama	s a m a
ayunar	ABSTAIN FROM FOOD	303.0	Proto-Shuar	jiva1245	Chicham	ihángu	i h á n g u
açaí palm	ACAI PALM	2437.0	Proto-Chapacuran	chap1271	Chapacuran	ʔiɾam	ʔ i ɾ a m
accept	ACCEPT	3898.0	Proto-Quechuan	quec1387	Quechuan	tʂaski	t ʂ a s k i
accompany	ACCOMPANY	1542.0	Proto-Aymara	ayma1253	Aymaran	irpa	i r p a
accompany	ACCOMPANY	1542.0	Proto-Quechuan	quec1387	Quechuan	yanapa	ya n a p a
to accompany	ACCOMPANY	1542.0	Proto-Quechuan	quec1387	Quechuan	puʃa	p u ʃ a
accuse	ACCUSE	1814.0	Proto-Aymara	ayma1253	Aymaran	tumpa	t u m p a
accuse	ACCUSE	1814.0	Proto-Quechuan	quec1387	Quechuan	tumpa	t u m p a
acostumbrarse	ACCUSTOM	1118.0	Proto-Guaicuru	guai1249	Guaicuruan	okˀa	o kˀ a
ache	ACHE	1815.0	Proto-Quechuan	quec1387	Quechuan	nana	n a n a
urucum	ACHIOTE	349.0	Proto-Naduhup	nada1235	Naduhup	hɤ̂w	h ɤ̂ w
urucum	ACHIOTE	349.0	Proto-Panoan	pano1256	Panoan	maʂɨ	m a ʂ ɨ
achiote	ACHIOTE	349.0	Proto-Shuar	jiva1245	Chicham	yámpiya	yá m p iya
achiote	ACHIOTE	349.0	Proto-Shuar	jiva1245	Chicham	ipáku	i p á k u
nuez de la garganta	ADAM'S APPLE	802.0	Proto-Shuar	jiva1245	Chicham	títi	t í t i
to add	ADD	2882.0	Proto-Chapacuran	chap1271	Chapacuran	wak	w a k
adición	ADD	2882.0	Proto-Shuar	jiva1245	Chicham	ingu	i n g u
adobe	ADOBE	901.0	Proto-Aymara	ayma1253	Aymaran	tika	t i k a
después	AFTER	1685.0	Proto-Guaicuru	guai1249	Guaicuruan	leʔeki	l e ʔ e k i
después	AFTER	1685.0	Proto-Guaicuru	guai1249	Guaicuruan	nátˀeg	n á tˀ e g
después	AFTER	1685.0	Proto-Shuar	jiva1245	Chicham	angúma	a n g ú m a
tarde	AFTERNOON	1807.0	Proto-Chocoan	choc1280	Chocoan	keuaˈɾaa	k eua ˈɾ aa
tarde	AFTERNOON	1807.0	Proto-Guaicuru	guai1249	Guaicuruan	atʃep	a t ʃ e p
tarde	AFTERNOON	1807.0	Proto-Naduhup	nada1235	Naduhup	tʼũʔ	tʼ ũ ʔ
tarde	AFTERNOON	1807.0	Proto-Shuar	jiva1245	Chicham	kiyánga	k iyá n g a
tarde	AFTERNOON	1807.0	Proto-Shuar	jiva1245	Chicham	ángku	á n g k u
otra vez	AGAIN	204.0	Proto-Shuar	jiva1245	Chicham	atáke	a t á k e
contra	AGAINST	2469.0	Proto-Guaicuru	guai1249	Guaicuruan	daqa	d a q a
agouti	AGOUTI	313.0	Proto-Chapacuran	chap1271	Chapacuran	tapiw	t a p i w
cutia 1	AGOUTI	313.0	Proto-Naduhup	nada1235	Naduhup	bẽ̂t	b ẽ̂ t
cutia 2	AGOUTI	313.0	Proto-Naduhup	nada1235	Naduhup	bĩjã̂w	b ĩ j ã̂ w
agouti	AGOUTI	313.0	Proto-Panoan	pano1256	Panoan	maɽi	m a ɽ i
agutí	AGOUTI	313.0	Proto-Shuar	jiva1245	Chicham	káshai	k á s h ai
	AGOUTI	313.0	Proto-Tucanoan	tuca1253	Tucanoan	w.u.ɨ	w u ɨ
aire	AIR	27.0	Proto-Guaicuru	guai1249	Guaicuruan	awen	a w e n
aire	AIR	27.0	Proto-Guaicuru	guai1249	Guaicuruan	wokˀo	w o kˀ o
liquor	ALCOHOL (FERMENTED DRINK)	404.0	Proto-Aymara	ayma1253	Aymaran	matʂa	m a t ʂ a
fermented drink	ALCOHOL (FERMENTED DRINK)	404.0	Proto-Chapacuran	chap1271	Chapacuran	tɾakop	t ɾ a k o p
todo	ALL	98.0	Proto-Chocoan	choc1280	Chocoan	thũˈmã	t h ũ ˈm ã
todo	ALL	98.0	Proto-Chocoan	choc1280	Chocoan	hũˈmã	h ũ ˈm ã
all	ALL	98.0	Proto-Guahiboan	guah1252	Guahiboan	daxɨ́ta	d a x ɨ́ t a
all	ALL	98.0	Proto-Quechuan	quec1387	Quechuan	tukuy	t u k uy
todo	ALL	98.0	Proto-Shuar	jiva1245	Chicham	ashí	a s h í
jacaré	ALLIGATOR	1581.0	Proto-Naduhup	nada1235	Naduhup	xâti	x â t i
jacaré	ALLIGATOR	1581.0	Proto-Naduhup	nada1235	Naduhup	xɤ̌ʔ	x ɤ̌ ʔ
dejar	ALLOW OR PERMIT	3237.0	Proto-Guaicuru	guai1249	Guaicuruan	eqʔaˀn	e q ʔ aˀ n
dejar	ALLOW OR PERMIT	3237.0	Proto-Guaicuru	guai1249	Guaicuruan	nanja	n a n j a
dejar	ALLOW OR PERMIT	3237.0	Proto-Guaicuru	guai1249	Guaicuruan	oˀjá	oˀ j á
casi	ALMOST	4046.0	Proto-Chocoan	choc1280	Chocoan	beˈɾa	b e ˈɾ a
casi	ALMOST	4046.0	Proto-Guaicuru	guai1249	Guaicuruan	jamekˀetˀa	j a m e kˀ e tˀ a
solo	ALONE	1964.0	Proto-Chocoan	choc1280	Chocoan	aˈβa	a ˈβ a
solo	ALONE	1964.0	Proto-Chocoan	choc1280	Chocoan	ãˈβa	ã ˈβ a
alone	ALONE	1964.0	Proto-Quechuan	quec1387	Quechuan	sapa	s a p a
aunque	ALTHOUGH	4045.0	Proto-Guaicuru	guai1249	Guaicuruan	aʔitˀeqa	a ʔ i tˀ e q a
aunque	ALTHOUGH	4045.0	Proto-Guaicuru	guai1249	Guaicuruan	aʔitˀeqa	a ʔ i tˀ e q a
aunque	ALTHOUGH	4045.0	Proto-Guaicuru	guai1249	Guaicuruan	tˀoma	tˀ o m a
aunque	ALTHOUGH	4045.0	Proto-Guaicuru	guai1249	Guaicuruan	tˀoma	tˀ o m a
siempre	ALWAYS	1676.0	Proto-Guaicuru	guai1249	Guaicuruan	noqˀáʔ	n o qˀ á ʔ
cantidad	AMOUNT	2987.0	Proto-Guaicuru	guai1249	Guaicuruan	ikˀa	i kˀ a
cantidad	AMOUNT	2987.0	Proto-Guaicuru	guai1249	Guaicuruan	iwóqˀote	i w ó qˀ o t e
amulet	AMULET	2804.0	Proto-Aymara	ayma1253	Aymaran	iʎa	i ʎ a
boa	ANACONDA (WATER BOA)	896.0	Proto-Chapacuran	chap1271	Chapacuran	pʷiɾan	pʷ i ɾ a n
anaconda	ANACONDA (WATER BOA)	896.0	Proto-Guahiboan	guah1252	Guahiboan	homowábi	h o m o w á b i
antepasados	ANCESTORS	1669.0	Proto-Shuar	jiva1245	Chicham	wéga	w é g a
anger	ANGER	82.0	Proto-Chapacuran	chap1271	Chapacuran	manaʔ	m a n a ʔ
enojo	ANGER	82.0	Proto-Guaicuru	guai1249	Guaicuruan	awela	a w e l a
to anger	ANGER	82.0	Proto-Quechuan	quec1387	Quechuan	piɲa	p i ɲ a
angry	ANGRY	1826.0	Proto-Aymara	ayma1253	Aymaran	tʂaqmi	t ʂ a q m i
angry	ANGRY	1826.0	Proto-Quechuan	quec1387	Quechuan	piɲa	p i ɲ a
animal	ANIMAL	619.0	Proto-Arawakan	araw1281	Arawakan	pɨra	p ɨ r a
animal	ANIMAL	619.0	Proto-Chocoan	choc1280	Chocoan	neme	n e m e
animal	ANIMAL	619.0	Proto-Guaicuru	guai1249	Guaicuruan	jitʃéqak	j i t ʃ é q a k
animal	ANIMAL	619.0	Proto-Guaicuru	guai1249	Guaicuruan	inikó	i n i k ó
animal	ANIMAL	619.0	Proto-Macro-Je	nucl1710	Macro-Jean	jôk	j ô k
animal	ANIMAL	619.0	Proto-Macro-Je	nucl1710	Macro-Jean	jôŋ	j ô ŋ
animal	ANIMAL	619.0	Proto-Panoan	pano1256	Panoan	yoʔina	yo ʔ i n a
animal	ANIMAL	619.0	Proto-Shuar	jiva1245	Chicham	kúntinu	k ú n t i n u
ankle	ANKLE	803.0	Proto-Panoan	pano1256	Panoan	poʂko	p o ʂ k o
avisar	ANNOUNCE	9.0	Proto-Shuar	jiva1245	Chicham	uhá	u h á
ant species	ANT	587.0	Proto-Chapacuran	chap1271	Chapacuran	kɾan	k ɾ a n
ant species	ANT	587.0	Proto-Chapacuran	chap1271	Chapacuran	ʔuɾin	ʔ u ɾ i n
ant species	ANT	587.0	Proto-Chapacuran	chap1271	Chapacuran	ʔuʔ	ʔ u ʔ
ant	ANT	587.0	Proto-Guahiboan	guah1252	Guahiboan	pɨbɨ	p ɨ b ɨ
ant	ANT	587.0	Proto-Guahiboan	guah1252	Guahiboan	khakharawa	k h a k h a r a w a
hormiga	ANT	587.0	Proto-Guaicuru	guai1249	Guaicuruan	petʃˀó	p e t ʃˀ ó
ant species	ANT	587.0	Proto-Panoan	pano1256	Panoan	hiʔima	h i ʔ i m a
ant species	ANT	587.0	Proto-Panoan	pano1256	Panoan	hitsi	h i t s i
ant species	ANT	587.0	Proto-Panoan	pano1256	Panoan	mawis	m a w i s
kind of ant	ANT	587.0	Proto-Panoan	pano1256	Panoan	hitsis	h i t s i s
hormiga	ANT	587.0	Proto-Shuar	jiva1245	Chicham	kúpita	k ú p i t a
hormiga	ANT	587.0	Proto-Shuar	jiva1245	Chicham	wáuma	w áu m a
hormiga	ANT	587.0	Proto-Shuar	jiva1245	Chicham	wísuta	w í s u t a
hormiga comestible	ANT	587.0	Proto-Shuar	jiva1245	Chicham	weeka	w ee k a
	ANT	587.0	Proto-Tucanoan	tuca1253	Tucanoan	m.e.k.a	m e k a
anteater species	ANTEATER	181.0	Proto-Chapacuran	chap1271	Chapacuran	ʔipʷik	ʔ i pʷ i k
oso hormiguero	ANTEATER	181.0	Proto-Guaicuru	guai1249	Guaicuruan	petˀájo	p e tˀ á j o
oso hormiguero	ANTEATER	181.0	Proto-Matacoan	mata1289	Matacoan	seulaχ	s eu l a χ
tamanduá	ANTEATER	181.0	Proto-Naduhup	nada1235	Naduhup	jõd	j õ d
tamandua	ANTEATER	181.0	Proto-Panoan	pano1256	Panoan	ʂaʔɨ	ʂ a ʔ ɨ
acercarse	APPROACH	1778.0	Proto-Shuar	jiva1245	Chicham	aníhi	a n í h i
apron	APRON	2046.0	Proto-Aymara	ayma1253	Aymaran	hirpi	h i r p i
apron	APRON	2046.0	Proto-Aymara	ayma1253	Aymaran	hirpʰi	h i r pʰ i
apron	APRON	2046.0	Proto-Aymara	ayma1253	Aymaran	kint͡ʃu	k i n t͡ʃ u
apron	APRON	2046.0	Proto-Quechuan	quec1387	Quechuan	miqʎa	m i q ʎ a
apron	APRON	2046.0	Proto-Quechuan	quec1387	Quechuan	miʎqa	m i ʎ q a
arco	ARCH	876.0	Proto-Matacoan	mata1289	Matacoan	lutshe	l u t s h e
arco	ARCH	876.0	Proto-Matacoan	mata1289	Matacoan	lutsex	l u t s e x
arm	ARM	1673.0	Proto-Chapacuran	chap1271	Chapacuran	tipan	t i p a n
brazo	ARM	1673.0	Proto-Chocoan	choc1280	Chocoan	huˈa	h u ˈa
arm	ARM	1673.0	Proto-Guahiboan	guah1252	Guahiboan	maxi	m a x i
arm	ARM	1673.0	Proto-Guahiboan	guah1252	Guahiboan	xasipato	x a s i p a t o
braço	ARM	1673.0	Proto-Macro-Je	nucl1710	Macro-Jean	paj	p a j
braço	ARM	1673.0	Proto-Naduhup	nada1235	Naduhup	bõ̌h	b õ̌ h
arm	ARM	1673.0	Proto-Panoan	pano1256	Panoan	mɨβi	m ɨ β i
arm	ARM	1673.0	Proto-Panoan	pano1256	Panoan	poyam	p oya m
brazo	ARM	1673.0	Proto-Shuar	jiva1245	Chicham	kúntu	k ú n t u
arm	ARM OR HAND	2121.0	Proto-Arawakan	araw1281	Arawakan	kanʊ	k a n ʊ
arm	ARM OR HAND	2121.0	Proto-Arawakan	araw1281	Arawakan	dana	d a n a
hands	ARM OR HAND	2121.0	Proto-Aymara	ayma1253	Aymaran	it͡ʃu	i t͡ʃ u
arm	ARM OR HAND	2121.0	Proto-Chibchan	chib1249	Chibchan	ˈkuí	ˈk uí
arm	ARM OR HAND	2121.0	Proto-Panoan	pano1256	Panoan	mɨβi	m ɨ β i
arm	ARM OR HAND	2121.0	Proto-Panoan	pano1256	Panoan	poyam	p oya m
common armadillo	ARMADILLO	1885.0	Proto-Chapacuran	chap1271	Chapacuran	kʷaɾaʔ	kʷ a ɾ a ʔ
giant armadillo	ARMADILLO	1885.0	Proto-Chapacuran	chap1271	Chapacuran	pikot	p i k o t
armadillo	ARMADILLO	1885.0	Proto-Guahiboan	guah1252	Guahiboan	tahaúbi	t a h aú b i
armadillo	ARMADILLO	1885.0	Proto-Guaicuru	guai1249	Guaicuruan	qatˀowiaqajik	q a tˀ o w ia q a j i k
mulita	ARMADILLO	1885.0	Proto-Matacoan	mata1289	Matacoan	xʷoqotsaχ	xʷ o q o t s a χ
armadillo species	ARMADILLO	1885.0	Proto-Panoan	pano1256	Panoan	paɨno	p aɨ n o
armadillo species	ARMADILLO	1885.0	Proto-Panoan	pano1256	Panoan	yawis	ya w i s
armadillo	ARMADILLO	1885.0	Proto-Shuar	jiva1245	Chicham	shushuwi	s h u s h u w i
	ARMADILLO	1885.0	Proto-Tucanoan	tuca1253	Tucanoan	p.ã.m.u	p ã m u
axila	ARMPIT	1886.0	Proto-Guaicuru	guai1249	Guaicuruan	atʃiqataki	a t ʃ i q a t a k i
to arrive	ARRIVE	1387.0	Proto-Arawakan	araw1281	Arawakan	ka	k a
arrive	ARRIVE	1387.0	Proto-Aymara	ayma1253	Aymaran	puri	p u r i
to arrive	ARRIVE	1387.0	Proto-Chapacuran	chap1271	Chapacuran	makiʔ	m a k i ʔ
llegar	ARRIVE	1387.0	Proto-Chocoan	choc1280	Chocoan	βaɾi	β a ɾ i
alcanzar	ARRIVE	1387.0	Proto-Guaicuru	guai1249	Guaicuruan	owid	o w i d
chegar	ARRIVE	1387.0	Proto-Naduhup	nada1235	Naduhup	wɯtʼ	w ɯ tʼ
to arrive	ARRIVE	1387.0	Proto-Panoan	pano1256	Panoan	ho	h o
to arrive	ARRIVE	1387.0	Proto-Quechuan	quec1387	Quechuan	tʂaya	t ʂ aya
to reach	ARRIVE	1387.0	Proto-Quechuan	quec1387	Quechuan	aypa	ay p a
arrow	ARROW	977.0	Proto-Arawakan	araw1281	Arawakan	tʊkʊ	t ʊ k ʊ
kind of arrow	ARROW	977.0	Proto-Chapacuran	chap1271	Chapacuran	papat	p a p a t
arrow	ARROW	977.0	Proto-Guahiboan	guah1252	Guahiboan	pú	p ú
flecha	ARROW	977.0	Proto-Guaicuru	guai1249	Guaicuruan	owiko	o w i k o
arrow	ARROW	977.0	Proto-Panoan	pano1256	Panoan	pia	p ia
ashes	ASH	646.0	Proto-Aymara	ayma1253	Aymaran	qʰiʎa	qʰ i ʎ a
ashes	ASH	646.0	Proto-Chibchan	chib1249	Chibchan	bur	b u r
ashes	ASH	646.0	Proto-Chibchan	chib1249	Chibchan	buˈrṹ	b u ˈr ṹ
ash	ASH	646.0	Proto-Guahiboan	guah1252	Guahiboan	i	i
ash	ASH	646.0	Proto-Guahiboan	guah1252	Guahiboan	apumana	a p u m a n a
ceniza	ASH	646.0	Proto-Guaicuru	guai1249	Guaicuruan	álo	á l o
ceniza	ASH	646.0	Proto-Guaicuru	guai1249	Guaicuruan	atsi	a t s i
cinza	ASH	646.0	Proto-Macro-Je	nucl1710	Macro-Jean	mbrôŋ	m b r ô ŋ
ashes	ASH	646.0	Proto-Panoan	pano1256	Panoan	koɽo	k o ɽ o
ashes	ASH	646.0	Proto-Quechuan	quec1387	Quechuan	utʂpa	u t ʂ p a
ceniza	ASH	646.0	Proto-Shuar	jiva1245	Chicham	yúku	yú k u
to be ashamed	ASHAMED	1894.0	Proto-Aymara	ayma1253	Aymaran	pinqa	p i n q a
to be ashamed	ASHAMED	1894.0	Proto-Aymara	ayma1253	Aymaran	pʰinqa	pʰ i n q a
to be ashamed	ASHAMED	1894.0	Proto-Panoan	pano1256	Panoan	ɽaβin	ɽ a β i n
to be ashamed	ASHAMED	1894.0	Proto-Quechuan	quec1387	Quechuan	pinqa	p i n q a
to ask	ASK (INQUIRE)	1309.0	Proto-Aymara	ayma1253	Aymaran	askʰi	a s kʰ i
about	ASK (INQUIRE)	1309.0	Proto-Panoan	pano1256	Panoan	manan	m a n a n
to ask	ASK (INQUIRE)	1309.0	Proto-Panoan	pano1256	Panoan	yoka	yo k a
to ask	ASK (INQUIRE)	1309.0	Proto-Quechuan	quec1387	Quechuan	tapu	t a p u
request	ASK (REQUEST)	1828.0	Proto-Aymara	ayma1253	Aymaran	mayi	m ayi
pedir	ASK (REQUEST)	1828.0	Proto-Guaicuru	guai1249	Guaicuruan	jiqe	j i q e
request	ASK (REQUEST)	1828.0	Proto-Quechuan	quec1387	Quechuan	maɲa	m a ɲ a
at	AT	1461.0	Proto-Chibchan	chib1249	Chibchan	ki	k i
at	AT	1461.0	Proto-Chibchan	chib1249	Chibchan	sə	s ə
at	AT	1461.0	Proto-Chibchan	chib1249	Chibchan	ka	k a
at	AT	1461.0	Proto-Guahiboan	guah1252	Guahiboan	ta	t a
on top	ATOP	57.0	Proto-Panoan	pano1256	Panoan	maʂkat	m a ʂ k a t
tía	AUNT	1272.0	Proto-Matacoan	mata1289	Matacoan	itho	i t h o
otoño	AUTUMN	1276.0	Proto-Guaicuru	guai1249	Guaicuruan	otˀap	o tˀ a p
to stay up all night	AWAKE	825.0	Proto-Aymara	ayma1253	Aymaran	paqaʎi	p a q a ʎ i
to stay up all night	AWAKE	825.0	Proto-Aymara	ayma1253	Aymaran	paqaʎa	p a q a ʎ a
axe	AXE	677.0	Proto-Guahiboan	guah1252	Guahiboan	sipália	s i p á l ia
machado	AXE	677.0	Proto-Macro-Je	nucl1710	Macro-Jean	mbim	m b i m
machado	AXE	677.0	Proto-Naduhup	nada1235	Naduhup	bã̂bo	b ã̂ b o
axe	AXE	677.0	Proto-Panoan	pano1256	Panoan	ɽoɨ	ɽ oɨ
axe	AXE	677.0	Proto-Panoan	pano1256	Panoan	yami	ya m i
baby	BABY	1289.0	Proto-Aymara	ayma1253	Aymaran	wawa	w a w a
newborn child	BABY	1289.0	Proto-Chapacuran	chap1271	Chapacuran	pijeʔ	p i j e ʔ
baby	BABY	1289.0	Proto-Quechuan	quec1387	Quechuan	wawa	w a w a
newborn	BABY	1289.0	Proto-Quechuan	quec1387	Quechuan	ʎuʎu	ʎ u ʎ u
espalda	BACK	1291.0	Proto-Guaicuru	guai1249	Guaicuruan	iˀlaqa	iˀ l a q a
espalda	BACK	1291.0	Proto-Shuar	jiva1245	Chicham	tuntúpe	t u n t ú p e
	BACK	1291.0	Proto-Tucanoan	tuca1253	Tucanoan	s.õ.k.ɨ	s õ k ɨ
back	BACK (DIRECTION)	2910.0	Proto-Aymara	ayma1253	Aymaran	sama	s a m a
back	BACK (DIRECTION)	2910.0	Proto-Chapacuran	chap1271	Chapacuran	ʔataw	ʔ a t a w
back	BACK (DIRECTION)	2910.0	Proto-Chapacuran	chap1271	Chapacuran	ʔaɾaw	ʔ a ɾ a w
back	BACK (DIRECTION)	2910.0	Proto-Panoan	pano1256	Panoan	kaʔtɨ	k a ʔ t ɨ
back	BACK (DIRECTION)	2910.0	Proto-Panoan	pano1256	Panoan	ka	k a
back	BACK (PART)	2323.0	Proto-Panoan	pano1256	Panoan	kaʔtɨ	k a ʔ t ɨ
back	BACK (PART)	2323.0	Proto-Panoan	pano1256	Panoan	ka	k a
rear part	BACK (PART)	2323.0	Proto-Panoan	pano1256	Panoan	tʃipo	t ʃ i p o
bad	BAD	1292.0	Proto-Guahiboan	guah1252	Guahiboan	abéhe	a b é h e
mal	BAD	1292.0	Proto-Guaicuru	guai1249	Guaicuruan	wela	w e l a
malo	BAD	1292.0	Proto-Guaicuru	guai1249	Guaicuruan	paˀják	p aˀ j á k
bad	BAD	1292.0	Proto-Zaparoan	zapa1251	Zaparoan	səsa	s ə s a
small bag	BAG	2468.0	Proto-Panoan	pano1256	Panoan	piʃa	p i ʃ a
bag	BAG	2468.0	Proto-Quechuan	quec1387	Quechuan	runku	r u n k u
bolsa	BAG	2468.0	Proto-Shuar	jiva1245	Chicham	wámpachi	w á m p a c h i
isca	BAIT	2013.0	Proto-Naduhup	nada1235	Naduhup	'dĩ̌woʔ	'd ĩ̌ w o ʔ
bare	BALD	1125.0	Proto-Aymara	ayma1253	Aymaran	qara	q a r a
calvo	BALD	1125.0	Proto-Guaicuru	guai1249	Guaicuruan	ʔalem	ʔ a l e m
bola	BALL	1845.0	Proto-Guaicuru	guai1249	Guaicuruan	pelekˀe	p e l e kˀ e
esfera	BALL	1845.0	Proto-Guaicuru	guai1249	Guaicuruan	ema	e m a
bamboo	BAMBOO	1927.0	Proto-Chapacuran	chap1271	Chapacuran	tɾakom	t ɾ a k o m
bamboo species	BAMBOO	1927.0	Proto-Chapacuran	chap1271	Chapacuran	papat	p a p a t
bambú	BAMBOO	1927.0	Proto-Shuar	jiva1245	Chicham	kéngku	k é n g k u
banana	BANANA	868.0	Proto-Panoan	pano1256	Panoan	mani	m a n i
ayahuasca	BANISTERIUM	276.0	Proto-Shuar	jiva1245	Chicham	natéma	n a t é m a
tree bark	BARK	1204.0	Proto-Aymara	ayma1253	Aymaran	siʎpi	s i ʎ p i
bark	BARK	1204.0	Proto-Chapacuran	chap1271	Chapacuran	topan	t o p a n
bark	BARK	1204.0	Proto-Guahiboan	guah1252	Guahiboan	bauko	b au k o
to bark	BARK	1204.0	Proto-Quechuan	quec1387	Quechuan	aɲa	a ɲ a
corteza	BARK	1204.0	Proto-Shuar	jiva1245	Chicham	saepe	s ae p e
bark	BARK OR SHELL	3865.0	Proto-Arawakan	araw1281	Arawakan	ɨda	ɨ d a
casca	BARK OR SHELL	3865.0	Proto-Naduhup	nada1235	Naduhup	pʼokʼ	pʼ o kʼ
bark	BARK OR SKIN	2127.0	Proto-Chibchan	chib1249	Chibchan	hukə́	h u k ə́
casca	BARK OR SKIN	2127.0	Proto-Macro-Je	nucl1710	Macro-Jean	kəj	k ə j
skin	BARK OR SKIN	2127.0	Proto-Panoan	pano1256	Panoan	βitsi	β i t s i
granary	BARN OR SHED	3025.0	Proto-Aymara	ayma1253	Aymaran	pirwa	p i r w a
base	BASE	831.0	Proto-Quechuan	quec1387	Quechuan	siki	s i k i
kind of basket	BASKET	1539.0	Proto-Panoan	pano1256	Panoan	kakan	k a k a n
kind of basket	BASKET	1539.0	Proto-Panoan	pano1256	Panoan	tasa	t a s a
straw bundle or basket	BASKET	1539.0	Proto-Quechuan	quec1387	Quechuan	t͡ʃipa	t͡ʃ i p a
canasta	BASKET	1539.0	Proto-Shuar	jiva1245	Chicham	changkína	c h a n g k í n a
bat	BAT	1793.0	Proto-Chapacuran	chap1271	Chapacuran	ʔinawˀ	ʔ i n a wˀ
bat	BAT	1793.0	Proto-Guahiboan	guah1252	Guahiboan	haiwi	h ai w i
morcego 2	BAT	1793.0	Proto-Naduhup	nada1235	Naduhup	wɤb	w ɤ b
murciélago	BAT	1793.0	Proto-Shuar	jiva1245	Chicham	hínchama	h í n c h a m a
	BAT	1793.0	Proto-Tucanoan	tuca1253	Tucanoan	o.j.o	o j o
to bathe	BATHE	138.0	Proto-Arawakan	araw1281	Arawakan	aka	a k a
to bathe	BATHE	138.0	Proto-Chapacuran	chap1271	Chapacuran	jaʔ	j a ʔ
dar banho	BATHE	138.0	Proto-Macro-Je	nucl1710	Macro-Jean	mrỹp	m r ỹ p
to bathe	BATHE	138.0	Proto-Panoan	pano1256	Panoan	nasi	n a s i
to bathe	BATHE	138.0	Proto-Quechuan	quec1387	Quechuan	arma	a r m a
bañar	BATHE	138.0	Proto-Shuar	jiva1245	Chicham	maí	m aí
exist	BE	1579.0	Proto-Aymara	ayma1253	Aymaran	haka	h a k a
exist	BE	1579.0	Proto-Aymara	ayma1253	Aymaran	uta	u t a
to become night	BE	1579.0	Proto-Aymara	ayma1253	Aymaran	t͡ʃama	t͡ʃ a m a
to exist	BE	1579.0	Proto-Chapacuran	chap1271	Chapacuran	ʔomaʔ	ʔ o m a ʔ
estar	BE	1579.0	Proto-Chocoan	choc1280	Chocoan	tʃiɾ	t ʃ i ɾ
estar	BE	1579.0	Proto-Chocoan	choc1280	Chocoan	keɾ	k e ɾ
estar	BE	1579.0	Proto-Chocoan	choc1280	Chocoan	nɯ̃	n ɯ̃
to be	BE	1579.0	Proto-Quechuan	quec1387	Quechuan	ka	k a
be able	BE ABLE	972.0	Proto-Quechuan	quec1387	Quechuan	atipa	a t i p a
live	BE ALIVE	1422.0	Proto-Aymara	ayma1253	Aymaran	uta	u t a
to live	BE ALIVE	1422.0	Proto-Aymara	ayma1253	Aymaran	haka	h a k a
to live	BE ALIVE	1422.0	Proto-Chapacuran	chap1271	Chapacuran	ʔomaʔ	ʔ o m a ʔ
vivir	BE ALIVE	1422.0	Proto-Guaicuru	guai1249	Guaicuruan	ewiqa	e w i q a
vivo	BE ALIVE	1422.0	Proto-Naduhup	nada1235	Naduhup	ʔɯpʼ	ʔ ɯ pʼ
vivo	BE ALIVE	1422.0	Proto-Shuar	jiva1245	Chicham	iwákuu	i w á k uu
guerrear	BE AT WAR	2208.0	Proto-Guaicuru	guai1249	Guaicuruan	witˀidi	w i tˀ i d i
to be born	BE BORN	1090.0	Proto-Chapacuran	chap1271	Chapacuran	ʔipan	ʔ i p a n
nacer	BE BORN	1090.0	Proto-Guaicuru	guai1249	Guaicuruan	ani	a n i
be born	BE BORN	1090.0	Proto-Quechuan	quec1387	Quechuan	qiʃpi	q i ʃ p i
nacer	BE BORN	1090.0	Proto-Shuar	jiva1245	Chicham	akíi	a k íi
to defeat	BE DEFEATED	3535.0	Proto-Aymara	ayma1253	Aymaran	atipa	a t i p a
hambriento	BE HUNGRY	1533.0	Proto-Guaicuru	guai1249	Guaicuruan	aw	a w
tardar	BE LATE	425.0	Proto-Guaicuru	guai1249	Guaicuruan	atʃep	a t ʃ e p
be many	BE MANY	428.0	Proto-Aymara	ayma1253	Aymaran	ʎumpi	ʎ u m p i
callar	BE SILENT	48.0	Proto-Shuar	jiva1245	Chicham	itá	i t á
