ORIGINAL_GLOSS	CONCEPT	CONCEPTICON_ID	LANGUAGE_NAME	DOCULECT	FAMILY	FORM	TOKENS
land	LAND	626.0	Proto-Aymara	ayma1253	Aymaran	uraqi	u r a q i
firm land	LAND	626.0	Proto-Chapacuran	chap1271	Chapacuran	ʔomiː	ʔ o m iː
land	LAND	626.0	Proto-Chibchan	chib1249	Chibchan	ˈká	ˈk á
land	LAND	626.0	Proto-Panoan	pano1256	Panoan	mai	m ai
clod	LAND	626.0	Proto-Quechuan	quec1387	Quechuan	t͡ʃampa	t͡ʃ a m p a
clod	LAND	626.0	Proto-Quechuan	quec1387	Quechuan	kurpa	k u r p a
land	LAND	626.0	Proto-Quechuan	quec1387	Quechuan	aʎpa	a ʎ p a
	LAND	626.0	Proto-Tucanoan	tuca1253	Tucanoan	j.e.pʔ.a	j e pˀ a
to land	LAND (DESCEND)	1922.0	Proto-Quechuan	quec1387	Quechuan	rata	r a t a
language	LANGUAGE	1307.0	Proto-Aymara	ayma1253	Aymaran	aru	a r u
língua	LANGUAGE	1307.0	Proto-Naduhup	nada1235	Naduhup	dõhkʼâtʼi	d õ h kʼ â tʼ i
language	LANGUAGE	1307.0	Proto-Panoan	pano1256	Panoan	hoi	h oi
language	LANGUAGE	1307.0	Proto-Quechuan	quec1387	Quechuan	ʃimi	ʃ i m i
lap	LAP	3263.0	Proto-Aymara	ayma1253	Aymaran	hirpi	h i r p i
lap	LAP	3263.0	Proto-Aymara	ayma1253	Aymaran	hirpʰi	h i r pʰ i
lap	LAP	3263.0	Proto-Quechuan	quec1387	Quechuan	miqʎa	m i q ʎ a
lap	LAP	3263.0	Proto-Quechuan	quec1387	Quechuan	miʎqa	m i ʎ q a
	LARVA	2640.0	Proto-Tucanoan	tuca1253	Tucanoan	pʔ.e.kk.o	pˀ e kː o
larynx	LARYNX	3714.0	Proto-Aymara	ayma1253	Aymaran	ʃanqa	ʃ a n q a
to laugh	LAUGH	1355.0	Proto-Aymara	ayma1253	Aymaran	laru	l a r u
to laugh	LAUGH	1355.0	Proto-Chapacuran	chap1271	Chapacuran	tatˢam	t a tˢ a m
laugh	LAUGH	1355.0	Proto-Chibchan	chib1249	Chibchan	ˈhaĩ	ˈh aĩ
reír	LAUGH	1355.0	Proto-Guaicuru	guai1249	Guaicuruan	ˀlatʃi	ˀl a t ʃ i
reír	LAUGH	1355.0	Proto-Guaicuru	guai1249	Guaicuruan	ˀiatʃiʔaqan	ˀia t ʃ i ʔ a q a n
to laugh	LAUGH	1355.0	Proto-Panoan	pano1256	Panoan	ʔosan	ʔ o s a n
to laugh	LAUGH	1355.0	Proto-Quechuan	quec1387	Quechuan	asi	a s i
