ID,Name,Concepticon_ID,Concepticon_Gloss,Portuguese_Gloss
Chacon-2019-220-178_shoot,shoot,1172,SHOOT,
Chacon-2019-220-179_short,short,1645,SHORT,
Chacon-2019-220-180_sing,sing,1261,SING,
Chacon-2019-220-181_sit,sit,1416,SIT,
Chacon-2019-220-182_skin,skin,763,SKIN,
Chacon-2019-220-183_sky,sky,1732,SKY,
Chacon-2019-220-184_sleep,sleep,1585,SLEEP,
Chacon-2019-220-185_small,small,1246,SMALL,
Chacon-2019-220-186_smell,smell,2124,SMELL,
Chacon-2019-220-187_smoke,smoke,778,SMOKE (EXHAUST),
Chacon-2019-220-188_smooth,smooth,1234,SMOOTH,
Chacon-2019-220-189_snake,snake,730,SNAKE,
Chacon-2019-220-190_soul,soul,811,SOUL,
Chacon-2019-220-191_split,split,1437,SPLIT,
Chacon-2019-220-192_squeeze,squeeze,1414,SQUEEZE,
Chacon-2019-220-193_standing,standing,1442,STAND,
Chacon-2019-220-194_star,star,1430,STAR,
Chacon-2019-220-195_straight,straight,1404,STRAIGHT,
Chacon-2019-220-196_suck,suck,1421,SUCK,
Chacon-2019-220-197_sun,sun,1343,SUN,
Chacon-2019-220-198_swellup,swell up,1573,SWELL,
Chacon-2019-220-199_swim,swim,1439,SWIM,
Chacon-2019-220-200_tail,tail,1220,TAIL,
Chacon-2019-220-201_tell,tell,1711,TELL,
Chacon-2019-220-202_that,that,78,THAT,
Chacon-2019-220-203_there,there,1937,THERE,
Chacon-2019-220-204_they,they,817,THEY,
Chacon-2019-220-205_thick,thick,1244,THICK,
Chacon-2019-220-206_thin,thin,2308,THIN,
Chacon-2019-220-207_skinny,skinny,1400,THIN (SLIM),
Chacon-2019-220-208_think,think,2271,THINK,
Chacon-2019-220-209_this,this,1214,THIS,
Chacon-2019-220-210_you,you,1215,THOU,
Chacon-2019-220-211_three,three,492,THREE,
Chacon-2019-220-212_tie,tie,1917,TIE,
Chacon-2019-220-213_tongue,tongue,1205,TONGUE,
Chacon-2019-220-214_tooth,tooth,1380,TOOTH,
Chacon-2019-220-215_hometohome,home (to home),,,
Chacon-2019-220-216_tree,tree,906,TREE,
Chacon-2019-220-217_turn,turn,1588,TURN,
Chacon-2019-220-218_two,two,1498,TWO,
Chacon-2019-220-219_vine,vine,343,VINE,
Chacon-2019-220-220_vomit,vomit,1278,VOMIT,
Chacon-2019-220-221_walk,walk,1443,WALK,
Chacon-2019-220-222_wash,wash,1453,WASH,
Chacon-2019-220-223_water,water,948,WATER,
Chacon-2019-220-224_we,we,1212,WE,
Chacon-2019-220-225_wet,wet,1726,WET,
Chacon-2019-220-226_what,what,1236,WHAT,
Chacon-2019-220-227_when,when,1238,WHEN,
Chacon-2019-220-228_where,where,1237,WHERE,
Chacon-2019-220-229_white,white,1335,WHITE,
Chacon-2019-220-230_who,who,1235,WHO,
Chacon-2019-220-231_why,why,1270,WHY,
Chacon-2019-220-232_wide,wide,1243,WIDE,
Chacon-2019-220-233_wife,wife,1199,WIFE,
Chacon-2019-220-234_wind,wind,960,WIND,
Chacon-2019-220-235_wing,wing,1257,WING,
Chacon-2019-220-236_withpedro,with pedro,,,
Chacon-2019-220-237_woman,woman,962,WOMAN,
Chacon-2019-220-238_worm,worm,1219,WORM,
Chacon-2019-220-239_year,year,1226,YEAR,
Chacon-2019-220-240_yellow,yellow,1424,YELLOW,
Chacon-2019-220-241_yes,yes,1268,YES,
Chacon-2019-220-242_youpl,you pl.,1213,YOU,
Chacon-2019-220-243_boyyoungman,"boy, young man",76,YOUNG MAN,
