ID,Name,Glottocode,Family,Latitude,Longitude
l157,Ache,ache1246,Tupian,-25.5865,-56.4697
l158,Akuntsu,akun1241,Tupian,-12.8322,-60.9716
l159,Amanaye,aman1266,Tupian,-3.79772,-48.6613
l160,Amondawa,amun1246,Tupian,-9.04023,-62.3064
l161,Anambe,anam1249,Tupian,-2.71119,-49.303
l162,Apiaka,apia1248,Tupian,-7.84711,-57.91
l163,Araweté,araw1273,Tupian,-4.90246,-52.5001
l164,Asuriní Tocantins,toca1235,Tupian,-3.59359,-49.8991
l165,Asuriní Xingu,xing1248,Tupian,-4.13463,-52.321
l166,Awetí,awet1244,Tupian,-12.381944,-53.391944
l167,Gavião,gavi1246,Tupian,-10.7235,-61.6752
l168,Guajajara,guaj1255,Tupian,-4.69461,-45.7081
l169,Guajá,guaj1256,Tupian,-3.93574,-46.3683
l170,Guaraní,para1311,Tupian,-25.60551,-57.08816
l171,Juruna,juru1256,Tupian,-10.9354,-53.3472
l172,Ka'Apor,urub1250,Tupian,-2.46455,-46.2204
l173,Kaiowa,kaiw1246,Tupian,-24.589,-54.6815
l174,Kamajura,kama1373,Tupian,-12.2661,-53.4651
l175,Karo,karo1305,Tupian,-10.3342,-61.5691
l176,Kayabi,kaya1329,Tupian,-11.2747,-55.5479
l177,Kuruaya,kuru1309,Tupian,-7.30696,-55.17252
l178,Mawe,sate1243,Tupian,-3.63897,-56.8749
l179,Mbya,mbya1239,Tupian,-26.0188,-52.711
l180,Mundurukú,mund1330,Tupian,-8.41095,-57.691
l181,Omagua,omag1248,Tupian,-3.526,-69.1667
l182,Parakana,para1312,Tupian,-4.64681,-50.0621
l183,Parintintin,tenh1241,Tupian,-7.92626,-61.936
l184,Siriono,siri1273,Tupian,-15.5298,-63.9688
l185,Surui-Aikewara,suru1261,Tupian,-5.9271,-48.588
l186,Surui-Paiter,suru1262,Tupian,-11.0989,-61.2818
l187,Tapiete,tapi1253,Tupian,-21.4169,-62.684
l188,Tapirapé,tapi1254,Tupian,-10.5373,-50.5438
l189,Teko,emer1243,Tupian,3.23694,-52.3699
l190,Tembe,temb1276,Tupian,-2.6123,-48.2359
l191,Tupinambá,tupi1273,Tupian,-22.807778,-42.106389
l192,Tupí Austral,tupi1274,Tupian,-23.95,-46.38
l193,Turiwara,turi1247,Tupian,-2.0,-49.5
l194,Urueuwauwau,urue1240,Tupian,-10.9176,-63.8086
l195,Warazu,paus1244,Tupian,-12.8553,-63.1903
l196,Wayoro,wayo1238,Tupian,-12.6945,-61.3064
l197,Yuki,yuqu1240,Tupian,-16.7875,-64.9438
l198,Zo'E,zoee1240,Tupian,-1.77208,-55.50746
l199,Zoro,gavi1246,Tupian,-10.7235,-61.6752
l200,Ñandeva,chir1286,Tupian,-25.6521,-55.051
l201,Arikem,arik1264,Tupian,-8.924,-63.742
l202,Arua,arua1261,Tupian,-12.1186,-62.4357
l203,Cinta-Larga,cint1239,Tupian,-10.5879,-60.8312
l204,Mekens,saki1248,Tupian,-13.054,-62.0927
l205,Monde,sala1273,Tupian,-12.0499,-61.25
l206,Purubora,puru1264,Tupian,-11.4226,-62.4358
l207,Tupari,tupa1250,Tupian,-11.8884,-62.2544
l208,Xipaya,xipa1240,Tupian,-4.133,-49.948
l209,Kepkiriwat,kepk1241,Tupian,-11.663,-61.246
l210,Makurap,maku1278,Tupian,-11.8701,-64.3201
l211,Urumi,urum1250,Tupian,-9.08,-63.848
l212,Xeta,xeta1241,Tupian,-24.9408,-52.2266
l213,Jiahoi,diah1239,Tupian,-7.9939,-62.1936
l214,Jora,jora1240,Tupian,-15.7492,-63.2094
l215,Aweti,awet1244,Tupian,-12.381944,-53.391944
l216,Amonda,amun1246,Tupian,-9.04023,-62.3064
l217,Apiaká,apia1248,Tupian,-7.84711,-57.91
l218,Aruá,arua1261,Tupian,-12.1186,-62.4357
l219,Asurini,toca1235,Tupian,-3.59359,-49.8991
l220,Asurini Xingu,xing1248,Tupian,-4.13463,-52.321
l221,Avacanoeiro,avac1239,Tupian,-13.6081,-48.1336
l222,Emerillon,emer1243,Tupian,3.23694,-52.3699
l223,Guarani Antigo,oldp1258,Tupian,,
l224,Guarani Paraguay,para1311,Tupian,-25.60551,-57.08816
l225,Guaranimbya,mbya1239,Tupian,-26.0188,-52.711
l226,Guarayo,guar1292,Tupian,-15.8247,-61.6934
l227,Jurúna,juru1256,Tupian,-10.9354,-53.3472
l228,Kuruáya,kuru1309,Tupian,-7.30696,-55.17252
l229,Káro,karo1305,Tupian,-10.3342,-61.5691
l230,Mawé,sate1243,Tupian,-3.63897,-56.8749
l231,Mekéns,saki1248,Tupian,-13.054,-62.0927
l232,Parintintín,pari1258,Tupian,,
l233,Salamãy,sala1273,Tupian,-12.0499,-61.25
l234,Suruí,suru1262,Tupian,-11.0989,-61.2818
l235,Tenharim,nucl1663,Tupian,,
l236,Tuparí,tupa1250,Tupian,-11.8884,-62.2544
l237,Tupí,tupi1273,Tupian,-22.807778,-42.106389
l238,Urubú-Ka’Apór,urub1250,Tupian,-2.46455,-46.2204
l239,Wayoró,wayo1238,Tupian,-12.6945,-61.3064
l240,Zoró,zoro1244,Tupian,-10.173,-59.456
l241,Aure Aura,aura1243,Tupian,-4.137,-46.792
l242,Anambe Ehrenreich,anam1251,Tupian,,
l243,Parakanã,para1312,Tupian,-4.64681,-50.0621
l244,Juma,juma1249,Tupian,-7.27501,-64.0998
l245,Urubukaapor,urub1250,Tupian,-2.46455,-46.2204
l246,Wayampí,waya1270,Tupian,1.73817,-52.6887
l247,Akuntsú,akun1241,Tupian,-12.8322,-60.9716
l248,Karitiána,kari1311,Tupian,-9.37937,-64.1522
l249,Makuráp,maku1278,Tupian,-11.8701,-64.3201
